condition_id,condition,match_id,year,match,actual_result,predicted_result,is_actual_draw,draw_probability,win_probability_gap,predicted_total_goals,upset_probability
C05,Win Probability Gap <= 10%,359,2022,Cameroon vs Serbia,Draw,Draw,True,30.92,9.43,0,59.65
C05,Win Probability Gap <= 10%,366,2022,Portugal vs Uruguay,Home Win,Draw,False,30.44,6.25,2,63.31
C05,Win Probability Gap <= 10%,325,2022,Ecuador vs Senegal,Away Win,Away Win,False,28.9,7.36,1,65.17
C05,Win Probability Gap <= 10%,332,2022,Iran vs USA,Away Win,Draw,False,31.6,7.06,2,61.34
C05,Win Probability Gap <= 10%,355,2022,Croatia vs Belgium,Draw,Home Win,True,28.91,7.06,3,64.89
C05,Win Probability Gap <= 10%,361,2022,Serbia vs Switzerland,Away Win,Away Win,False,29.39,8.97,2,67.75
C05,Win Probability Gap <= 10%,378,2022,Netherlands vs Argentina,Draw,Draw,True,30.81,9.71,2,71.34
C05,Win Probability Gap <= 10%,380,2022,England vs France,Away Win,Draw,False,32.23,3.97,4,63.8
C05,Win Probability Gap <= 10%,381,2022,Argentina vs Croatia,Home Win,Home Win,False,29.47,9.54,3,60.99
C05,Win Probability Gap <= 10%,383,2022,Croatia vs Morocco,Home Win,Draw,False,31.38,6.08,0,62.55
C05,Win Probability Gap <= 10%,384,2022,Argentina vs France,Draw,Draw,True,31.24,6.33,6,68.81
C06,Win Probability Gap <= 15%,258,2018,Egypt vs Uruguay,Away Win,Away Win,False,28.53,12.9,2,58.57
C06,Win Probability Gap <= 15%,263,2018,Morocco vs Iran,Away Win,Draw,False,31.23,8.83,2,59.94
C06,Win Probability Gap <= 15%,264,2018,Portugal vs Spain,Draw,Away Win,True,28.98,7.96,2,63.06
C06,Win Probability Gap <= 15%,270,2018,Peru vs Denmark,Away Win,Away Win,False,29.45,11.45,6,59.1
C06,Win Probability Gap <= 15%,276,2018,Croatia vs Nigeria,Home Win,Home Win,False,28.4,13.17,1,58.43
C06,Win Probability Gap <= 15%,281,2018,Costa Rica vs Serbia,Away Win,Draw,False,30.23,5.52,2,65.99
C06,Win Probability Gap <= 15%,293,2018,Belgium vs Panama,Home Win,Home Win,False,28.7,9.05,1,62.25
C06,Win Probability Gap <= 15%,300,2018,Poland vs Senegal,Away Win,Away Win,False,29.2,7.29,1,65.69
C06,Win Probability Gap <= 15%,259,2018,Russia vs Egypt,Home Win,Home Win,False,28.16,13.02,2,58.82
C06,Win Probability Gap <= 15%,278,2018,Nigeria vs Iceland,Home Win,Away Win,False,28.64,12.1,1,59.26
C06,Win Probability Gap <= 15%,284,2018,Serbia vs Switzerland,Away Win,Draw,False,31.74,3.5,0,64.77
C06,Win Probability Gap <= 15%,302,2018,Poland vs Colombia,Away Win,Away Win,False,29.04,9.0,3,61.95
C06,Win Probability Gap <= 15%,261,2018,Uruguay vs Russia,Home Win,Home Win,False,27.07,9.65,6,63.78
C06,Win Probability Gap <= 15%,274,2018,Australia vs Peru,Away Win,Away Win,False,29.28,7.68,3,63.04
C06,Win Probability Gap <= 15%,280,2018,Iceland vs Croatia,Away Win,Draw,False,30.28,13.62,2,56.1
C06,Win Probability Gap <= 15%,292,2018,Mexico vs Sweden,Away Win,Away Win,False,29.66,7.12,2,66.45
C06,Win Probability Gap <= 15%,286,2018,Switzerland vs Costa Rica,Draw,Home Win,True,28.82,10.24,2,60.95
C06,Win Probability Gap <= 15%,303,2018,Japan vs Poland,Away Win,Away Win,False,27.75,10.42,2,65.91
C06,Win Probability Gap <= 15%,304,2018,Senegal vs Colombia,Away Win,Away Win,False,29.52,7.11,3,63.37
C06,Win Probability Gap <= 15%,297,2018,England vs Belgium,Away Win,Home Win,False,28.65,10.26,2,61.09
C06,Win Probability Gap <= 15%,305,2018,France vs Argentina,Home Win,Draw,False,33.75,0.01,2,66.24
C06,Win Probability Gap <= 15%,306,2018,Uruguay vs Portugal,Home Win,Draw,False,30.01,8.04,4,61.95
C06,Win Probability Gap <= 15%,308,2018,Croatia vs Denmark,Draw,Draw,True,30.75,6.47,2,62.77
